Taxon,SLA,SLA units,SLAunits flag,LMA,LMA units,leaf area,wood density,maximum height,seed mass,seed volume,flowering duration,source,source notes
Pittosporum undulatum,,,,,,24.1,,,,,,AUSTRAITS_dataset_68,
Synoum glandulosum,,,,,,24.16,,,,,,Gallagher_field_workPHD,
Clematis aristata,,,,,,24.31,,,,,,Gallagher_field_workPHD,
Clematis aristata,,,,,,24.312,,,,,,AUSTRAITS_dataset_68,
Synoum glandulosum,10.619,m2/kg,,,,24.427,0.524,,,,,AUSTRAITS_dataset_28,
Syzygium floribundum,,,,,,24.456,636.4,30,,,,AUSTRAITS_dataset_49,
Argophyllum nullumense,,,,,,24.5,,8,,,,AUSTRAITS_dataset_49,
Endiandra pubens,,,,,,24.5,649.3,25,,,,AUSTRAITS_dataset_49,
Acmena smithii,,,,,,24.75,,,,,,AUSTRAITS_dataset_68,
Drypetes deplanchei,,,,,,24.75,,,,,,Gallagher_field_workPHD,
Melodinus australis,,,,,,24.82,,,,,,AUSTRAITS_dataset_68,
Melodinus australis,,,,,,24.82,,,,,,AUSTRAITS_dataset_68,
Melodinus australis,,,,,,24.82,,,,,,AUSTRAITS_dataset_68,
Melodinus australis,,,,,,24.82,,,,,,AUSTRAITS_dataset_68,
Melodinus australis,,,,,,24.82,,,,,,AUSTRAITS_dataset_68,
Melodinus australis,,,,,,24.82,,,,,,AUSTRAITS_dataset_68,
Melodinus australis,,,,,,24.82,,,,,,AUSTRAITS_dataset_68,
Melodinus australis,,,,,,24.82,,,,,,AUSTRAITS_dataset_68,
Melodinus australis,,,,,,24.82,,,,,,AUSTRAITS_dataset_68,
Melodinus australis,,,,,,24.82,,,,,,AUSTRAITS_dataset_68,
Melodinus australis,,,,,,24.82,,,,,,AUSTRAITS_dataset_68,
Melodinus australis,,,,,,24.82,,,,,,AUSTRAITS_dataset_68,
Melodinus australis,,,,,,24.82,,,,,,AUSTRAITS_dataset_68,
Melodinus australis,,,,,,24.82,,,,,,Gallagher_field_workPHD,
Medicosma cunninghamii,,,,,,24.92,,,,,,AUSTRAITS_dataset_68,
Acronychia oblongifolia,,,,,,24.93,,,,,,Gallagher_field_workPHD,
Cupaniopsis newmanii,,,,,,24.938,,12,,,,AUSTRAITS_dataset_49,
Vitex melicopea,,,,,,24.938,490,30,,,,AUSTRAITS_dataset_49,
Flagellaria indica,,,,,,24.955,,,,,,AUSTRAITS_dataset_49,
Micromelum minutum,,,,,,24.983,,10,,,ephemeral,AUSTRAITS_dataset_56,
Psychotria loniceroides,14.261,m2/kg,,,,19.184,,1,,,,AUSTRAITS_dataset_52,
Synoum glandulosum,14.157,m2/kg,,,,25.1,,3,,,,AUSTRAITS_dataset_8,
Synoum glandulosum,,,,,,25.1,,,,,,AUSTRAITS_dataset_68,
Elattostachys nervosa,,,,,,25.2,662.2,40,,,,AUSTRAITS_dataset_49,
Rhodamnia argentea,,,,,,25.288,718.1,40,,,,AUSTRAITS_dataset_49,
Flagellaria indica,14.522,m2/kg,,,,16.119,,,,,,AUSTRAITS_dataset_52,
Acmena smithii,,,,,,25.3,,,,,,Gallagher_field_workPHD,
Parsonsia straminea,,,,,,25.3,,,,,,AUSTRAITS_dataset_68,
Parsonsia straminea,,,,,,25.3,,,,,,AUSTRAITS_dataset_68,
Glochidion ferdinandi,,,,,,25.351,0.49,,,,,AUSTRAITS_dataset_30,
Notelaea longifolia,,,,,,25.38,,,,,,Gallagher_field_workPHD,
Embelia australiana,,,,,,25.41,,,,,,AUSTRAITS_dataset_68,
Embelia australiana,,,,,,25.41,,,,,,Gallagher_field_workPHD,
Ficus coronata,,,,,,25.41,,,,,,AUSTRAITS_dataset_68,
Ficus coronata,15.422,m2/kg,,,,25.412,,2.5,,,,AUSTRAITS_dataset_8,
Cleistanthus cunninghamii,11.409,m2/kg,,,,25.488,0.569,,,,,AUSTRAITS_dataset_28,
Breynia oblongifolia,101.5,cm2/g,,,,0.033,,,,,,AUSTRAITS_dataset_3,
Marsdenia rostrata,,,,,,25.5,,,,,,AUSTRAITS_dataset_68,
Marsdenia rostrata,,,,,,25.5,,,,,,AUSTRAITS_dataset_68,
Marsdenia rostrata,,,,,,25.5,,,,,,AUSTRAITS_dataset_68,
Marsdenia rostrata,30.796,m2/kg,,,,25.548,,1.8,,,,AUSTRAITS_dataset_8,
Synoum glandulosum,14.663,m2/kg,,,,28.695,,1.5,,,,AUSTRAITS_dataset_52,
Marsdenia rostrata,,,,,,25.55,,,,,,AUSTRAITS_dataset_68,
Embelia australiana,,,,,,25.6,,,,,,AUSTRAITS_dataset_68,
Embelia australiana,,,,,,25.6,,,,,,AUSTRAITS_dataset_68,
Embelia australiana,,,,,,25.6,,,,,,AUSTRAITS_dataset_68,
Embelia australiana,,,,,,25.6,,,,,,Gallagher_field_workPHD,
Ficus coronata,,,,,,25.85,,,,,,AUSTRAITS_dataset_68,
Ficus coronata,15.496,m2/kg,,,,25.852,0.521,,,,,AUSTRAITS_dataset_28,
Acmena smithii,,,,,,25.872,530,20,,,,AUSTRAITS_dataset_49,
Dioscorea transversa,,,,,,26.03,,,,,,AUSTRAITS_dataset_68,
Dioscorea transversa,,,,,,26.03,,,,,,Gallagher_field_workPHD,
Lophostemon suaveolens,,,,136.9,,26.1,,25,,,,AUSTRAITS_dataset_45,
Lophostemon suaveolens,,,,136.9,g/m2,26.14,0.57,25,,,,AUSTRAITS_dataset_61,
Lophostemon suaveolens,,,,136.9,g/m2,26.16,,,,,,AUSTRAITS_dataset_43,
Medicosma cunninghamii,,,,,,26.163,,10,,,,AUSTRAITS_dataset_49,
Endiandra discolor,,,,,,26.2,,,,,,Gallagher_field_workPHD,
Morinda jasminoides,15.6,m2/kg,,,,9.843,,2,,,,AUSTRAITS_dataset_52,
Diospyros fasciculosa,,,,,,26.25,,,,,,AUSTRAITS_dataset_68,
Olea paniculata,,,,,,26.25,732,30,,,,AUSTRAITS_dataset_49,
Pandorea pandorana,,,,,,26.25,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,,,,,,26.25,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,,,,,,26.25,,,,,,AUSTRAITS_dataset_68,
Trophis scandens,,,,,,26.26,,,,,,Gallagher_field_workPHD,
Ficus coronata,,,,,,26.29,,,,,,Gallagher_field_workPHD,
Flagellaria indica,,,,,,26.4,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,26.4,,,,,,Gallagher_field_workPHD,
Canarium australasicum,,,,,,26.6,610,40,,,,AUSTRAITS_dataset_49,
Cupaniopsis anacardioides,,,,,,26.667,,,,,,AUSTRAITS_dataset_68,
Dissiliaria baloghioides,,,,,,26.775,,35,,,,AUSTRAITS_dataset_49,
Wilkiea huegeliana,105,cm2/g,,,,0.421,,,,,,AUSTRAITS_dataset_3,
Cryptocarya laevigata,,,,87,g/m2,26.82,,4.8,,,,AUSTRAITS_dataset_32,
Cryptocarya laevigata,,,,,,26.82,,,,,,AUSTRAITS_dataset_68,
Tabernaemontana pandacaqui,,,,,,26.83,,,,,,AUSTRAITS_dataset_68,
Tabernaemontana pandacaqui,,,,,,26.83,,,,,,AUSTRAITS_dataset_68,
Cryptocarya laevigata,,,,,,26.906,,7,,,,AUSTRAITS_dataset_49,
Polyscias elegans,,,,,,26.917,,,,,,AUSTRAITS_dataset_68,
Polyscias elegans,,,,,,26.917,,,,,,AUSTRAITS_dataset_68,
Elaeagnus triflora,,,,,,26.98,,,,,,AUSTRAITS_dataset_68,
Elaeagnus triflora,,,,,,26.98,,,,,,AUSTRAITS_dataset_68,
Elaeagnus triflora,,,,,,26.98,,,,,,AUSTRAITS_dataset_68,
Elaeagnus triflora,,,,,,26.98,,,,,,Gallagher_field_workPHD,
Parsonsia straminea,,,,,,26.98,,,,,,Gallagher_field_workPHD,
Alangium villosum,,,,67.84,g/m2,27.2,0.54,20,,,,AUSTRAITS_dataset_39,
Polyscias elegans,,,,,,27.36,,,,,,Gallagher_field_workPHD,
Lantana camara,,,,,,27.49,,,,,,AUSTRAITS_dataset_68,
Lantana camara,19.02,m2/kg,,,,27.491,,2.5,,,,AUSTRAITS_dataset_8,
Psychotria loniceroides,15.608,m2/kg,,,,40.057,,1,,,,AUSTRAITS_dataset_52,
Diospyros fasciculosa,,,,,,27.563,690,30,,,,AUSTRAITS_dataset_49,
Neolitsea dealbata,12.157,m2/kg,,,,27.618,,3.5,,,,AUSTRAITS_dataset_8,
Elaeocarpus grandis,,,,122,g/m2,27.62,,34.7,,,,AUSTRAITS_dataset_32,
Neolitsea dealbata,,,,,,27.62,,,,,,AUSTRAITS_dataset_68,
Castanospermum australe,,,,117,g/m2,27.65,,34.8,,,,AUSTRAITS_dataset_32,
Cissus hypoglauca,121.6,cm2/g,,,,0.181,,,,,,AUSTRAITS_dataset_3,
Pittosporum undulatum,11.559,m2/kg,,,,27.685,0.508,,,,,AUSTRAITS_dataset_28,
Stephania japonica,,,,,,27.83,,,,,,Gallagher_field_workPHD,
Acmena smithii,,,,,,27.85,,,,,,AUSTRAITS_dataset_68,
Cryptocarya glaucescens,,,,,,27.93,,,,,,AUSTRAITS_dataset_68,
Ligustrum lucidum,,,,,,27.95,,,,,,AUSTRAITS_dataset_68,
Ligustrum lucidum,12.006,m2/kg,,,,27.951,,4.5,,,,AUSTRAITS_dataset_8,
Breynia oblongifolia,15.76,m2/kg,,,,1.2,,2,7.828,,,AUSTRAITS_dataset_10,
Embelia australiana,,,,,,27.97,,,,,,AUSTRAITS_dataset_68,
Embelia australiana,,,,,,27.97,,,,,,Gallagher_field_workPHD,
Capparis arborea,7.522,m2/kg,,,,27.995,0.672,,,,,AUSTRAITS_dataset_28,
Lomandra longifolia,1.824,m2/kg,,,,28.125,,0.8,,,,AUSTRAITS_dataset_8,
Lomandra longifolia,,,,,,28.13,,,,,,AUSTRAITS_dataset_68,
Cissus hypoglauca,,,,,,28.16,,,,,,AUSTRAITS_dataset_68,
Cissus hypoglauca,,,,,,28.16,,,,,,AUSTRAITS_dataset_68,
Tabernaemontana pandacaqui,,,,,,28.175,,4,,,,AUSTRAITS_dataset_49,
Dioscorea transversa,,,,,,28.33,,,,,,AUSTRAITS_dataset_68,
Dioscorea transversa,,,,,,28.33,,,,,,AUSTRAITS_dataset_68,
Dioscorea transversa,,,,,,28.33,,,,,,AUSTRAITS_dataset_68,
Polyscias elegans,,,,,,28.35,400,30,,,,AUSTRAITS_dataset_49,
Ixora beckleri,,,,,,28.5,,,,,,AUSTRAITS_dataset_68,
Ixora beckleri,,,,,,28.5,,,,,,AUSTRAITS_dataset_68,
Synoum glandulosum,124,cm2/g,,,,0.104,,,,,,AUSTRAITS_dataset_3,
Trophis scandens,,,,,,28.67,,,,,,Gallagher_field_workPHD,
Synoum glandulosum,14.663,m2/kg,,,,28.695,,1.5,,,,AUSTRAITS_dataset_8,
Synoum glandulosum,,,,,,28.695,,,,,,AUSTRAITS_dataset_68,
Cissus hypoglauca,15.833,m2/kg,,,,28.756,,1,,,,AUSTRAITS_dataset_52,
Cissus hypoglauca,15.833,m2/kg,,,,28.756,,1,,,,AUSTRAITS_dataset_8,
Cissus hypoglauca,,,,,,28.756,,,,,,AUSTRAITS_dataset_68,
Toona ciliata,15.855,m2/kg,,,,11.349,,4,,,,AUSTRAITS_dataset_52,
Euroschinus falcatus,,,,,,28.94,,,,,,Gallagher_field_workPHD,
Dysoxylum rufum,,,,,,29,,,,,,AUSTRAITS_dataset_68,
Castanospermum australe,,,,,,29.333,,,,,,AUSTRAITS_dataset_68,
Castanospermum australe,,,,,,29.333,,,,,,AUSTRAITS_dataset_68,
Casuarina cunninghamiana,35.164,cm2/g,,,,,,,,,,AUSTRAITS_dataset_32,
Cinnamomum oliveri,,,,,,29.4,463,25,,,,AUSTRAITS_dataset_49,
Planchonella australis,,,,,,29.4,756.8,40,251.327,,,AUSTRAITS_dataset_49,
Pittosporum undulatum,7.215,m2/kg,,,,29.577,,3,,,,AUSTRAITS_dataset_8,
Rubus rosifolius,16.433,m2/kg,,,,3.684,,1,,,,AUSTRAITS_dataset_52,
Pittosporum undulatum,,,,,,29.58,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,29.63,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,29.63,,,,,,Gallagher_field_workPHD,
Synoum glandulosum,8.739,m2/kg,,,,29.64,0.502,,,,,AUSTRAITS_dataset_28,
Pittosporum undulatum,,,,,,29.79,,,,,,Gallagher_field_workPHD,
Ficus fraseri,,,,,,29.925,390,35,,,,AUSTRAITS_dataset_49,
Ixora beckleri,,,,,,29.925,825.6,15,,,,AUSTRAITS_dataset_49,
Pittosporum undulatum,16.472,m2/kg,,,,39.237,,2.3,,,,AUSTRAITS_dataset_52,
Ficus fraseri,,,,,,30,,,,,,AUSTRAITS_dataset_68,
Ficus fraseri,,,,,,30,,,,,,AUSTRAITS_dataset_68,
Hymenosporum flavum,,,,,,30,,,,,,AUSTRAITS_dataset_68,
Hymenosporum flavum,,,,,,30,,,,,,AUSTRAITS_dataset_68,
Notelaea longifolia,,,,,,30.03,780,9,,,,AUSTRAITS_dataset_49,
Cupaniopsis anacardioides,,,,,,30.13,,,,,,Gallagher_field_workPHD,
Eupomatia laurina,,,,,,30.52,,,,,,AUSTRAITS_dataset_68,
Eupomatia laurina,15.655,m2/kg,,,,30.521,,3,,,,AUSTRAITS_dataset_8,
Castanospermum australe,,,,,,30.625,583,35,23561.945,,,AUSTRAITS_dataset_49,
Cryptocarya macdonaldii,,,,,,30.8,,30,,,,AUSTRAITS_dataset_49,
Hymenosporum flavum,,,,,,30.87,570,28,,,,AUSTRAITS_dataset_49,
Cissus antarctica,,,,,,30.9,,,,,,AUSTRAITS_dataset_68,
Cissus antarctica,,,,,,30.9,,,,,,Gallagher_field_workPHD,
Lophostemon confertus,,,,,,30.92,,,,,,AUSTRAITS_dataset_68,
Eupomatia laurina,,,,,,30.95,,,,,,Gallagher_field_workPHD,
Marsdenia rostrata,,,,,,31,,,,,,Gallagher_field_workPHD,
Syzygium oleosum,11.054,m2/kg,,,,31.096,,17,,,,AUSTRAITS_dataset_8,
Syzygium oleosum,,,,,,31.1,,,,,,AUSTRAITS_dataset_68,
Pittosporum undulatum,11.593,m2/kg,,,,31.151,0.556,,,,,AUSTRAITS_dataset_28,
Stephania japonica,,,,,,31.17,,,,,,AUSTRAITS_dataset_68,
Stephania japonica,,,,,,31.17,,,,,,AUSTRAITS_dataset_68,
Ficus fraseri,22.428,m2/kg,,,,31.232,0.406,,,,,AUSTRAITS_dataset_28,
Micromelum minutum,,,,,,31.238,,9,,,,AUSTRAITS_dataset_49,
Beilschmiedia obtusifolia,,,,,,31.51,,,,,,Gallagher_field_workPHD,
Cissus antarctica,,,,,,31.53,,,,,,AUSTRAITS_dataset_68,
Cissus antarctica,,,,,,31.53,,,,,,Gallagher_field_workPHD,
Parsonsia straminea,,,,,,31.53,,,,,,AUSTRAITS_dataset_68,
Parsonsia straminea,,,,,,31.53,,,,,,AUSTRAITS_dataset_68,
Parsonsia straminea,,,,,,31.53,,,,,,AUSTRAITS_dataset_68,
Parsonsia straminea,,,,,,31.53,,,,,,AUSTRAITS_dataset_68,
Parsonsia straminea,,,,,,31.53,,,,,,AUSTRAITS_dataset_68,
Parsonsia straminea,,,,,,31.53,,,,,,AUSTRAITS_dataset_68,
Parsonsia straminea,,,,,,31.53,,,,,,AUSTRAITS_dataset_68,
Parsonsia straminea,,,,,,31.53,,,,,,Gallagher_field_workPHD,
Capparis arborea,8.463,m2/kg,,,,31.538,0.621,,,,,AUSTRAITS_dataset_28,
Embelia australiana,,,,,,31.64,,,,,,Gallagher_field_workPHD,
Trophis scandens,,,,,,31.77,,,,,,Gallagher_field_workPHD,
Erythrina species 'Croftby',,,,,,31.85,215,30,62.832,,,AUSTRAITS_dataset_49,
Carex appressa,,,,,,31.86,,,,,,AUSTRAITS_dataset_68,
Cryptocarya glaucescens,10.72,m2/kg,,,,31.867,,4,,,,AUSTRAITS_dataset_8,
Sloanea australis,,,,,,31.9,,,,,,AUSTRAITS_dataset_68,
Sloanea australis,17.99,m2/kg,,,,31.904,,4.5,,,,AUSTRAITS_dataset_8,
Alphitonia excelsa,17.031,m2/kg,,,,17.587,,35,,,,AUSTRAITS_dataset_52,
Dioscorea transversa,,,,,,32.13,,,,,,AUSTRAITS_dataset_68,
Dioscorea transversa,,,,,,32.13,,,,,,Gallagher_field_workPHD,
Eupomatia laurina,,,,,,32.17,,,,,,Gallagher_field_workPHD,
Lophostemon suaveolens,,,,171.59,g/m2,32.27,0.57,30,,,,AUSTRAITS_dataset_39,
Alphitonia excelsa,,,,80.6,g/m2,32.28,,,,,,AUSTRAITS_dataset_43,
Alphitonia excelsa,,,,80.6,g/m2,32.3,,25,,,,AUSTRAITS_dataset_45,
Alphitonia excelsa,,,,80.6,g/m2,32.3,0.5,25,,,,AUSTRAITS_dataset_61,
Cissus antarctica,,,,,,32.34,,,,,,AUSTRAITS_dataset_68,
Cissus antarctica,,,,,,32.34,,,,,,Gallagher_field_workPHD,
Eupomatia laurina,,,,,,32.39,,,,,,Gallagher_field_workPHD,
Pittosporum undulatum,,,,,,32.39,,,,,,AUSTRAITS_dataset_68,
Pittosporum undulatum,11.75,m2/kg,,,,32.392,0.683,,,,,AUSTRAITS_dataset_28,
Cryptocarya glaucescens,9.762,m2/kg,,,,32.706,,1.2,,,,AUSTRAITS_dataset_8,
Cryptocarya glaucescens,,,,,,32.71,,,,,,AUSTRAITS_dataset_68,
Eupomatia laurina,,,,,,32.97,,,,,,AUSTRAITS_dataset_68,
Polyscias elegans,,,,,,32.97,,,,,,Gallagher_field_workPHD,
Eupomatia laurina,15.393,m2/kg,,,,32.972,0.478,,,,,AUSTRAITS_dataset_28,
Endiandra globosa,,,,,,33,,,,,,AUSTRAITS_dataset_68,
Endiandra globosa,,,,,,33,,,,,,AUSTRAITS_dataset_68,
Rhodomyrtus psidioides,,,,,,33,,,,,,AUSTRAITS_dataset_68,
Capparis arborea,7.417,m2/kg,,,,33.117,0.65,,,,,AUSTRAITS_dataset_28,
Capparis arborea,,,,,,33.12,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,33.16,,,,,,Gallagher_field_workPHD,
Synoum glandulosum,,,,,,33.28,,,,,,Gallagher_field_workPHD,
Polyscias elegans,,,,,,33.38,,,,,,Gallagher_field_workPHD,
Beilschmiedia obtusifolia,,,,,,33.6,633,35,,,,AUSTRAITS_dataset_49,
Flindersia schottiana,,,,,,33.75,,,,,,AUSTRAITS_dataset_68,
Flindersia schottiana,,,,,,33.75,,,,,,AUSTRAITS_dataset_68,
Notelaea longifolia,,,,,,33.76,,,,,,Gallagher_field_workPHD,
Olea paniculata,,,,,,33.78,,,,,,Gallagher_field_workPHD,
Clematis aristata,,,,,,34,,,,,,AUSTRAITS_dataset_68,
Clematis aristata,,,,,,34,,,,,,AUSTRAITS_dataset_68,
Clematis aristata,,,,,,34,,,,,,Gallagher_field_workPHD,
Clematis aristata,30.771,m2/kg,,,,34.07,,8,,,,AUSTRAITS_dataset_8,
Clematis aristata,,,,,,34.07,,,,,,AUSTRAITS_dataset_68,
Pittosporum undulatum,10.09,m2/kg,,,,34.245,,7,,,,AUSTRAITS_dataset_8,
Pittosporum undulatum,,,,,,34.25,,,,,,AUSTRAITS_dataset_68,
Eupomatia laurina,,,,,,34.28,,,,,,AUSTRAITS_dataset_68,
Eupomatia laurina,10.294,m2/kg,,,,34.281,,7,,,,AUSTRAITS_dataset_8,
Breynia oblongifolia,17.198,m2/kg,,,,6.281,,0.4,,,,AUSTRAITS_dataset_52,
Alangium villosum,,,,,,34.32,,,,,,Gallagher_field_workPHD,
Stephania japonica,,,,,,34.36,,,,,,Gallagher_field_workPHD,
Cupaniopsis anacardioides,,,,,,34.54,,,,,,Gallagher_field_workPHD,
Eupomatia laurina,15.724,m2/kg,,,,34.562,0.508,,,,,AUSTRAITS_dataset_28,
Pittosporum undulatum,,,,,,34.58,,,,,,Gallagher_field_workPHD,
Eupomatia laurina,14.433,m2/kg,,,,34.639,,4.5,,,,AUSTRAITS_dataset_8,
Eupomatia laurina,,,,,,34.64,,,,,,AUSTRAITS_dataset_68,
Rhodomyrtus psidioides,,,,,,34.65,778.3,20,,,,AUSTRAITS_dataset_49,
Sloanea woollsii,,,,,,34.67,,,,,,AUSTRAITS_dataset_68,
Sloanea woollsii,,,,,,34.67,,,,,,AUSTRAITS_dataset_68,
Sloanea woollsii,,,,,,34.67,,,,,,AUSTRAITS_dataset_68,
Cupaniopsis anacardioides,,,,,,34.79,,,,,,Gallagher_field_workPHD,
Stephania japonica,,,,,,34.88,,,,,,Gallagher_field_workPHD,
Alangium villosum,,,,,,34.9,,,,,,Gallagher_field_workPHD,
Glochidion ferdinandi,,,,,,34.9,,,,,,Gallagher_field_workPHD,
Notelaea longifolia,,,,,,34.93,,,,,,Gallagher_field_workPHD,
Myrsine variabilis,,,,,,34.97,,,,,,Gallagher_field_workPHD,
Citronella moorei,,,,,,35,,,,,,AUSTRAITS_dataset_68,
Citronella moorei,,,,,,35,,,,,,AUSTRAITS_dataset_68,
Eupomatia bennettii,,,,,,35,,,,,,AUSTRAITS_dataset_68,
Eupomatia bennettii,,,,,,35,,,,,,AUSTRAITS_dataset_68,
Wilkiea huegeliana,,,,,,35,,,,,,AUSTRAITS_dataset_68,
Wilkiea huegeliana,9.194,m2/kg,,,,35.001,,2,,,,AUSTRAITS_dataset_8,
Eupomatia laurina,17.591,m2/kg,,,,,,,,,,AUSTRAITS_dataset_52,
Cissus antarctica,11.076,m2/kg,,,,35.379,,0.8,,,,AUSTRAITS_dataset_8,
Cissus antarctica,,,,,,35.38,,,,,,AUSTRAITS_dataset_68,
Lophostemon suaveolens,,,,,,35.438,,20,,,,AUSTRAITS_dataset_49,
Flindersia schottiana,,,,,,35.44,,,,,,Gallagher_field_workPHD,
Dysoxylum rufum,,,,,,35.525,,30,,,,AUSTRAITS_dataset_49,
Ficus fraseri,9.902,m2/kg,,,,35.68,0.502,,,,,AUSTRAITS_dataset_28,
Ficus fraseri,,,,,,35.68,,,,,,AUSTRAITS_dataset_68,
Arytera divaricata,,,,,,35.77,,,,,,Gallagher_field_workPHD,
Mallotus claoxyloides,,,,,,35.875,,8,,,,AUSTRAITS_dataset_49,
Polyscias elegans,,,,72.8,g/m2,35.9,0.22,25,,,,AUSTRAITS_dataset_61,
Eupomatia laurina,,,,,,35.92,,,,,,Gallagher_field_workPHD,
Lantana camara,,,,,,35.96,,,,,,AUSTRAITS_dataset_68,
Lantana camara,22.617,m2/kg,,,,35.961,,4,,,,AUSTRAITS_dataset_8,
Sloanea australis,17.99,m2/kg,,,,31.904,,4.5,,,,AUSTRAITS_dataset_52,
Carex appressa,,,,,,36,,,,,,AUSTRAITS_dataset_68,
Wilkiea huegeliana,,,,,,36.06,,,,,,AUSTRAITS_dataset_68,
Trema tomentosa,,,,,,36.225,,6,,,,AUSTRAITS_dataset_49,
Sloanea woollsii,,,,,,36.4,533.2,45,,,,AUSTRAITS_dataset_49,
Lophostemon confertus,,,,,,36.444,690,40,,,,AUSTRAITS_dataset_49,
Ficus coronata,15.645,m2/kg,,,,36.716,,1.8,,,,AUSTRAITS_dataset_8,
Ficus coronata,,,,,,36.72,,,,,,AUSTRAITS_dataset_68,
Alangium villosum,15.616,m2/kg,,,,36.723,0.545,,,,,AUSTRAITS_dataset_28,
Citronella moorei,,,,,,36.75,562,40,,,,AUSTRAITS_dataset_49,
Pittosporum undulatum,,,,,,36.77,,,,,,Gallagher_field_workPHD,
Cupaniopsis anacardioides,,,,,,37.013,,10,,,jul/aug/sep,AUSTRAITS_dataset_56,
Cupaniopsis anacardioides,,,,,,37.013,700,15,,,,AUSTRAITS_dataset_49,
Melodorum leichhardtii,,,,,,37.19,,,,,,AUSTRAITS_dataset_68,
Melodorum leichhardtii,,,,,,37.19,,,,,,AUSTRAITS_dataset_68,
Melodorum leichhardtii,,,,,,37.19,,,,,,AUSTRAITS_dataset_68,
Melodorum leichhardtii,,,,,,37.19,,,,,,AUSTRAITS_dataset_68,
Melodorum leichhardtii,,,,,,37.19,,,,,,AUSTRAITS_dataset_68,
Melodorum leichhardtii,,,,,,37.19,,,,,,AUSTRAITS_dataset_68,
Melodorum leichhardtii,,,,,,37.19,,,,,,AUSTRAITS_dataset_68,
Melodorum leichhardtii,,,,,,37.19,,,,,,Gallagher_field_workPHD,
Macadamia tetraphylla,,,,,,37.52,,18,,,,AUSTRAITS_dataset_49,
Neolitsea dealbata,13.578,m2/kg,,,,38.406,,1.7,,,,AUSTRAITS_dataset_8,
Neolitsea dealbata,,,,,,38.41,,,,,,AUSTRAITS_dataset_68,
Smilax australis,,,,,,38.52,,,,,,AUSTRAITS_dataset_68,
Smilax australis,12.725,m2/kg,,,,38.525,,0.5,,,,AUSTRAITS_dataset_8,
Arytera divaricata,,,,,,38.588,590,30,,,,AUSTRAITS_dataset_49,
Eupomatia laurina,14.9,m2/kg,,,,38.64,0.515,,,,,AUSTRAITS_dataset_28,
Stephania japonica,,,,,,38.65,,,,,,AUSTRAITS_dataset_68,
Rubus moluccanus,,,,,,38.68,,,,,,AUSTRAITS_dataset_68,
Rubus moluccanus,,,,,,38.68,,,,,,Gallagher_field_workPHD,
Flagellaria indica,,,,,,38.78,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,38.78,,,,,,Gallagher_field_workPHD,
Trophis scandens,,,,,,38.9,,,,,,Gallagher_field_workPHD,
Neolitsea dealbata,,,,,,38.94,,,,,,Gallagher_field_workPHD,
Notelaea longifolia,,,,,,39.04,,,,,,Gallagher_field_workPHD,
Cissus antarctica,,,,,,39.16,,,,,,AUSTRAITS_dataset_68,
Cissus antarctica,,,,,,39.16,,,,,,Gallagher_field_workPHD,
Acronychia oblongifolia,18.09,m2/kg,,,,,,4,2.167,,,AUSTRAITS_dataset_10,
Pittosporum undulatum,16.472,m2/kg,,,,39.237,,2.3,,,,AUSTRAITS_dataset_8,
Pittosporum undulatum,,,,,,39.24,,,,,,AUSTRAITS_dataset_68,
Cissus antarctica,,,,,,39.61,,,,,,Gallagher_field_workPHD,
Marsdenia rostrata,,,,,,39.813,,,,,,AUSTRAITS_dataset_49,
Cupaniopsis anacardioides,,,,,,39.88,,,,,,Gallagher_field_workPHD,
Cissus antarctica,,,,,,39.9,,,,,,AUSTRAITS_dataset_49,
Ficus fraseri,14.414,m2/kg,,,,39.952,0.585,,,,,AUSTRAITS_dataset_28,
Smilax australis,7.973,m2/kg,,,,39.998,,4,,,,AUSTRAITS_dataset_8,
Smilax australis,,,,,,40,,,,,,AUSTRAITS_dataset_68,
Sterculia quadrifida,,,,,,40,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,18.496,m2/kg,,,,14.382,,2,,,,AUSTRAITS_dataset_52,
Psychotria loniceroides,15.608,m2/kg,,,,40.057,,1,,,,AUSTRAITS_dataset_8,
Psychotria loniceroides,,,,,,40.06,,,,,,AUSTRAITS_dataset_68,
Eupomatia laurina,,,,,,40.28,,,,,,Gallagher_field_workPHD,
Euroschinus falcatus,,,,76.95,g/m2,40.42,0.45,25,,,,AUSTRAITS_dataset_39,
Mischocarpus pyriformis,,,,,,40.51,,,,,,Gallagher_field_workPHD,
Wilkiea huegeliana,11.978,m2/kg,,,,40.527,,1,,,,AUSTRAITS_dataset_8,
Wilkiea huegeliana,,,,,,40.53,,,,,,AUSTRAITS_dataset_68,
Stephania japonica,,,,,,40.66,,,,,,Gallagher_field_workPHD,
Alangium villosum,,,,,,41.125,570,20,,,,AUSTRAITS_dataset_49,
Alangium villosum,,,,,,41.125,570,9,,,,AUSTRAITS_dataset_49,
