"","Taxon","site","avgPerHa","totalcover","flowering.duration","leaf.area","maximum.height","seed.mass","SLA","wood.density","growthForm","source"
"4239","Lantana.camara",14,1,9320.2757120606,1.4142135623731,5.34735136929178,2,1.27876502960461,1.374915589516,0.590249741249414,"shrub","exotic"
"4343","Leucaena.leucocephala",14,0,9320.2757120606,1.73205080756888,0.460163014593742,2.82842712474619,1.68124123737559,0.890115445710269,0.76,"tree","exotic"
"4394","Ligustrum.lucidum",14,0,9320.2757120606,2.44948974278318,5.43006906033432,2.12132034355964,1.35780149050287,1.12095801244251,0.57942,"tree","exotic"
"4420","Ligustrum.sinense",14,0,9320.2757120606,2.23606797749979,1.92340843296477,1.73205080756888,1.22597228085552,0.987326443354537,0.612,"shrub","exotic"
"4749","Macfadyena.unguiscati",14,1,9320.2757120606,2,3.74165738677394,4.47213595499958,1.46239799789896,1.2070685815141,0.570259171282359,"vine_w","exotic"
"5417","Ochna.serrulata",14,0,9320.2757120606,2.44948974278318,2.60722074247656,1.73205080756888,1.92303666867079,1.30530120051976,0.535272523375735,"shrub","exotic"
"5667","Passiflora.edulis",14,0,9320.2757120606,2.23606797749979,11.4310979350192,2.23606797749979,1.12972210869588,1.33445375115093,0.484348919718412,"vine_h","exotic"
"6314","Ricinus.communis",14,0,9320.2757120606,1.73205080756888,NA,1.87082869338697,2.47070442972279,1.67311310423823,0.60295667435373,"shrub","exotic"
"6527","Schefflera.actinophylla",14,0,9320.2757120606,2.23606797749979,10.8383116766404,4.89897948556636,0.896473187788894,1.15010476610168,0.4065,"tree","exotic"
"6601","Senna.pendula",14,0,9320.2757120606,3.46410161513775,1.74928556845359,1.73205080756888,1.26717172840301,1.29694405276492,0.575537807233781,"shrub","exotic"
"6664","Senna.septemtrionalis",14,0,9320.2757120606,3,2.9417256840161,1.73205080756888,1.31395154120854,1.30896967781313,0.57582866087906,"shrub","exotic"
"6834","Solanum.mauritianum",14,1,9320.2757120606,3,10.9287464971972,2,0.0293837776852097,1.30377897905731,0.449091629,"tree","exotic"
"7289","Tecoma.capensis",14,0,9320.2757120606,2.44948974278318,1.62018517460197,1.73205080756888,0.332034277027518,1.32278383618378,0.506633891755376,"shrub","exotic"
"7325","Tecoma.stans",14,0,9320.2757120606,2.44948974278318,2.8831406486677,2.23606797749979,0.954242509439325,1.27648322138233,0.462,"tree","exotic"
"610","Aristolochia.elegans",15,0,25981.2325734198,2.44948974278318,5.00249937531231,1.73205080756888,0.323045735481701,1.34274861010053,0.404130457831263,"vine_h","exotic"
"1265","Cardiospermum.grandiflorum",15,0,25981.2325734198,2.44948974278318,2.96816441593117,3.16227766016838,1.54022933771828,1.37981536260424,0.50762062507353,"vine_h","exotic"
"1615","Celtis.sinensis",15,0,25981.2325734198,3.46410161513775,6.11649681871358,3.87298334620742,1.67614468035621,1.44053738355182,0.59,"tree","exotic"
"1666","Cinnamomum.camphora",15,0,25981.2325734198,2.44948974278318,3.33586570473093,4.47213595499958,1.96614173273903,1.21608076192616,0.460635,"tree","exotic"
"2312","Cyperus.involucratus",15,0,25981.2325734198,2.23606797749979,6.18465843842649,1.09544511501033,-1.25963731050576,0.866613541004892,0.628887160009622,"graminoid","exotic"
"2493","Desmodium.spp",15,0,25981.2325734198,2.44948974278318,3.83405790253616,1.22474487139159,0.589949601325708,1.41471973482959,0.43564595389098,"vine_h","exotic"
"3263","Eugenia.uniflora",15,0,25981.2325734198,2.64575131106459,3.02386342284171,2.82842712474619,2.41211095510998,1.03354621402668,0.7568,"shrub","exotic"
"4248","Lantana.camara",15,1,25981.2325734198,1.4142135623731,5.34735136929178,2,1.27876502960461,1.374915589516,0.590249741249414,"shrub","exotic"
"4351","Leucaena.leucocephala",15,0,25981.2325734198,1.73205080756888,0.460163014593742,2.82842712474619,1.68124123737559,0.890115445710269,0.76,"tree","exotic"
"4384","Ligustrum.lucidum",15,0,25981.2325734198,2.44948974278318,5.43006906033432,2.12132034355964,1.35780149050287,1.12095801244251,0.57942,"tree","exotic"
"4431","Ligustrum.sinense",15,1,25981.2325734198,2.23606797749979,1.92340843296477,1.73205080756888,1.22597228085552,0.987326443354537,0.612,"shrub","exotic"
"4724","Macfadyena.unguiscati",15,0,25981.2325734198,2,3.74165738677394,4.47213595499958,1.46239799789896,1.2070685815141,0.570259171282359,"vine_w","exotic"
"5420","Ochna.serrulata",15,0,25981.2325734198,2.44948974278318,2.60722074247656,1.73205080756888,1.92303666867079,1.30530120051976,0.535272523375735,"shrub","exotic"
"5673","Passiflora.edulis",15,0,25981.2325734198,2.23606797749979,11.4310979350192,2.23606797749979,1.12972210869588,1.33445375115093,0.484348919718412,"vine_h","exotic"
"6294","Ricinus.communis",15,0,25981.2325734198,1.73205080756888,NA,1.87082869338697,2.47070442972279,1.67311310423823,0.60295667435373,"shrub","exotic"
"6546","Schefflera.actinophylla",15,0,25981.2325734198,2.23606797749979,10.8383116766404,4.89897948556636,0.896473187788894,1.15010476610168,0.4065,"tree","exotic"
"6612","Senna.pendula",15,0,25981.2325734198,3.46410161513775,1.74928556845359,1.73205080756888,1.26717172840301,1.29694405276492,0.575537807233781,"shrub","exotic"
"6659","Senna.septemtrionalis",15,0,25981.2325734198,3,2.9417256840161,1.73205080756888,1.31395154120854,1.30896967781313,0.57582866087906,"shrub","exotic"
"6863","Solanum.mauritianum",15,0,25981.2325734198,3,10.9287464971972,2,0.0293837776852097,1.30377897905731,0.449091629,"tree","exotic"
"7288","Tecoma.capensis",15,0,25981.2325734198,2.44948974278318,1.62018517460197,1.73205080756888,0.332034277027518,1.32278383618378,0.506633891755376,"shrub","exotic"
"7314","Tecoma.stans",15,0,25981.2325734198,2.44948974278318,2.8831406486677,2.23606797749979,0.954242509439325,1.27648322138233,0.462,"tree","exotic"
"578","Aristolochia.elegans",16,0,12953.9856968428,2.44948974278318,5.00249937531231,1.73205080756888,0.323045735481701,1.34274861010053,0.404130457831263,"vine_h","exotic"
"1236","Cardiospermum.grandiflorum",16,0,12953.9856968428,2.44948974278318,2.96816441593117,3.16227766016838,1.54022933771828,1.37981536260424,0.50762062507353,"vine_h","exotic"
"1596","Celtis.sinensis",16,0,12953.9856968428,3.46410161513775,6.11649681871358,3.87298334620742,1.67614468035621,1.44053738355182,0.59,"tree","exotic"
"1638","Cinnamomum.camphora",16,1,12953.9856968428,2.44948974278318,3.33586570473093,4.47213595499958,1.96614173273903,1.21608076192616,0.460635,"tree","exotic"
"2306","Cyperus.involucratus",16,0,12953.9856968428,2.23606797749979,6.18465843842649,1.09544511501033,-1.25963731050576,0.866613541004892,0.628887160009622,"graminoid","exotic"
"2489","Desmodium.spp",16,0,12953.9856968428,2.44948974278318,3.83405790253616,1.22474487139159,0.589949601325708,1.41471973482959,0.43564595389098,"vine_h","exotic"
"3261","Eugenia.uniflora",16,0,12953.9856968428,2.64575131106459,3.02386342284171,2.82842712474619,2.41211095510998,1.03354621402668,0.7568,"shrub","exotic"
"4241","Lantana.camara",16,1,12953.9856968428,1.4142135623731,5.34735136929178,2,1.27876502960461,1.374915589516,0.590249741249414,"shrub","exotic"
"4354","Leucaena.leucocephala",16,0,12953.9856968428,1.73205080756888,0.460163014593742,2.82842712474619,1.68124123737559,0.890115445710269,0.76,"tree","exotic"
"4369","Ligustrum.lucidum",16,0,12953.9856968428,2.44948974278318,5.43006906033432,2.12132034355964,1.35780149050287,1.12095801244251,0.57942,"tree","exotic"
"4444","Ligustrum.sinense",16,0,12953.9856968428,2.23606797749979,1.92340843296477,1.73205080756888,1.22597228085552,0.987326443354537,0.612,"shrub","exotic"
"4737","Macfadyena.unguiscati",16,0,12953.9856968428,2,3.74165738677394,4.47213595499958,1.46239799789896,1.2070685815141,0.570259171282359,"vine_w","exotic"
